evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761213-14-M3,770112-06-M1,2,1976-12-13 14:43:19.577211,0.9709745870745397,-0.1105442176870748,3,35,B,AA,repeating,6,24.191498,1976-12-13 14:43:19.466667,106.82929086417778,249.20893629626667,2.1212322530902776,night5,526.6000001298029,0.0273078790115838,137.96702649675925,2.4655777471396974,237.67543566303564,0.007984564512846
770112-06-M1,770112-06-M1,2,1977-01-12 06:53:45.031318,1.0,0.0,3,35,A,AA,repeating,6,22.764967,1977-01-12 06:53:45.031318,106.57110879125926,249.16110879125927,2.1701392513657405,night6,321.8000001297563,0.0266776084159395,135.5933897834707,2.0788511919179737,328.0461122657683,3.390871980521683
770210-22-M1,770112-06-M1,2,1977-02-10 22:29:31.502076,0.9815214660286624,-0.4421768707482993,3,35,A,AA,repeating,6,24.602722,1977-02-10 22:29:31.059899,106.26171496894816,248.8121437111852,2.234040045127315,night7,335.3000001297594,0.0257986536527256,160.2772635964949,0.4229728239094549,243.43272966055616,0.030214423829611
770411-01-M1,770112-06-M1,2,1977-04-11 01:09:44.020385,0.9586724399588228,0.7227891156462586,3,35,A,AA,repeating,6,21.988096,1977-04-11 01:09:44.743174,105.78201521931852,247.6980228289778,2.274997027476852,night9,259.7000001297422,0.022553854812592,127.37575852520511,7.5272639768491745,249.58281391476268,0.0079517063443763
761015-09-M1,770112-06-M1,3,1976-10-15 09:10:51.504990,0.9046494510578912,0.1615646258503401,3,35,A,AA,repeating,6,16.276872,1976-10-15 09:10:51.666555,106.76172840333334,248.062074084,2.0700424369791666,night3,600.0,0.0279462398672463,260.50622882080194,3.3621977990852514,352.6245654220936,0.181345627328484
761113-23-M2,770112-06-M1,3,1976-11-13 23:35:55.754082,0.9091330128886356,0.2125850340136054,3,35,B,AA,repeating,6,16.225511,1976-11-13 23:35:55.966667,106.80696543207408,248.72835851848888,2.092661651238426,night4,371.6000001297677,0.0292549147539921,351.19611527855386,0.0734143965040015,250.91635421354405,0.0241859904142445
761213-14-M3,770112-06-M1,3,1976-12-13 14:43:20.081293,0.9721617605738968,-0.314625850340136,3,35,B,AA,repeating,6,15.940817,1976-12-13 14:43:19.766667,106.8292730864,249.2089096296,2.1212357253125,night5,540.9000001298061,0.0407887822035232,137.96702649675925,2.4655777471396974,237.67543566303564,0.007984564512846
770112-06-M1,770112-06-M1,3,1977-01-12 06:53:45.531318,1.0,0.0,3,35,A,AA,repeating,6,16.491157,1977-01-12 06:53:45.531318,106.57107175422222,249.16107175422223,2.1701450384027776,night6,367.6000001297667,0.0281092336586508,135.5933897834707,2.0788511919179737,328.0461122657683,3.390871980521683
770210-22-M1,770112-06-M1,3,1977-02-10 22:29:32.010919,0.9852895532152248,-0.0510204081632653,3,35,A,AA,repeating,6,19.051362,1977-02-10 22:29:31.959899,106.2616616356148,248.81207704451853,2.2340504617939816,night7,600.0,0.0259737177246704,160.2772635964949,0.4229728239094549,243.43272966055616,0.030214423829611
770411-01-M1,770112-06-M1,3,1977-04-11 01:09:44.513922,0.9603813774536298,0.6292517006802721,3,35,A,AA,repeating,6,15.839797,1977-04-11 01:09:45.143174,105.78199151561482,247.69798727342223,2.2750016571064813,night9,485.7000001297936,0.0260548531658151,127.37575852520511,7.5272639768491745,249.58281391476268,0.0079517063443763
