evid,mean_arrival_time,grade,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,PGV_geo1,PGV_geo2,PGV_geo3,PGV_geo4,PGV_mean_124,PGV_mean_123,PGV_mean_234,PGV_mean_134
761107-11-N2,1976-11-07T11:12:14.000000,D,367.4870518518519,356.4947555555556,25.154328703703705,sunset3,0.0057637232381118,0.0061771894494196,0.0068926288517428,0.0058152382890331,0.0059187169921881,0.006277847179758,0.0062950188633985,0.0061571967929625
761107-11-M1,1976-11-07T11:14:49.261575,A,367.4617499655556,356.48095452666666,25.15612571267361,sunset3,0.0060694778393409,0.0039754035405752,0.0055938516873161,0.0076747111667058,0.0059065308488739,0.0052129110224107,0.005747988798199,0.0064460135644542
761107-11-N1,1976-11-07T11:21:06.000000,D,367.3949333333333,356.4420444444445,25.160486111111112,sunset3,0.0031681081159086,0.003671140076375,0.0039101505213621,0.0044457885039457,0.0037616788987431,0.0035831329045485,0.0040090263672276,0.0038413490470721
761107-11-M2,1976-11-07T11:31:26.715408,A,367.2892019335111,356.3776739576889,25.167670317222225,sunset3,0.0159684942772114,0.0187246250682369,0.0169218338897845,0.0210484031858872,0.0185805075104451,0.0172049844117442,0.0188982873813028,0.0179795771176277
761107-11-M3,1976-11-07T11:46:13.116733,A,367.1447513472148,356.29350073484443,25.177929591817133,sunset3,0.0088771392527081,0.0106429779259017,0.0114812377386544,0.009661977543509,0.0097273649073729,0.0103337849724214,0.0105953977360217,0.0100067848449571
761107-11-N3,1976-11-07T11:49:09.000000,D,367.1157333333333,356.2775111111111,25.17996527777778,sunset3,0.004782570748406,0.0048191181990249,0.0049626112392521,0.0049302277557096,0.0048439722343801,0.0048547667288943,0.0049039857313288,0.0048918032477892
761107-12-M1,1976-11-07T12:06:16.666667,B,366.9386172838963,356.1709382715704,25.19185956790509,sunset3,0.0034344365137797,0.0028784287087459,0.003764570061989,0.0043923582480636,0.0035684078235297,0.0033591450948381,0.0036784523395995,0.0038637882746107
761107-12-M4,1976-11-07T12:11:48.333333,B,366.8840740741333,356.1365432099111,25.19569830246528,sunset3,0.0045749280326584,0.0053726617757342,0.0055110912969501,0.0045653518553236,0.0048376472212387,0.0051528937017808,0.0051497016426692,0.0048837903949773
761107-12-M2,1976-11-07T12:21:50.617235,A,366.7770013804444,356.0740841385926,25.202669180960644,sunset3,0.0072630493260355,0.0073087574832145,0.0071497012636085,0.0076156972560727,0.0073958346884408,0.0072405026909528,0.0073580520009652,0.0073428159485722
761107-12-N2,1976-11-07T12:24:55.000000,D,366.7463703703704,356.0571111111111,25.20480324074074,sunset3,0.0027883262832202,0.003192336692044,0.002787893566613,0.002578983219561,0.002853215398275,0.0029228521806257,0.0028530711594059,0.0027184010231314
761107-12-N1,1976-11-07T12:27:26.000000,D,366.7217629629629,356.0436888888889,25.206550925925924,sunset3,0.0028275877969837,0.0019011937518217,0.0017204443661834,0.0032509201461729,0.0026599005649927,0.0021497419716629,0.002290852754726,0.00259965076978
761107-12-M3,1976-11-07T12:28:36.736644,A,366.71023550986666,356.0374011872,25.20736963708333,sunset3,0.013441041783632,0.0140315145603042,0.0164068995771822,0.0148696036341691,0.0141140533260351,0.0146264853070394,0.0151026725905518,0.0149058483316611
761107-14-N2,1976-11-07T14:06:46.000000,D,365.6878222222222,355.4312296296296,25.275532407407407,sunset3,0.0101781872847191,0.0070787651839478,0.0088174081749587,0.0095148344497987,0.0089239289728218,0.0086914535478752,0.008470335936235,0.0095034766364921
761107-14-M2,1976-11-07T14:26:02.333333,B,365.4822518519112,355.3113135802815,25.28891589505788,sunset3,0.0088731739786715,0.0110257010597211,0.0114118858831023,0.0108949816585933,0.0102646188989953,0.0104369203071649,0.0111108562004722,0.0103933471734557
761107-14-M1,1976-11-07T14:33:20.000000,B,365.4107407407408,355.265925925926,25.29398148148148,sunset3,0.0046861124500347,0.0053626325315426,0.0053938073179613,0.0040607615896412,0.0047031688570728,0.0051475174331795,0.0049390671463817,0.0047135604525457
