,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new
21064,761029-02-M1,761226-15-M9,4,1976-10-29 02:28:40.256122,0.7096783982393605,0.9438775510204084,3,35,B,AA
21065,761029-03-M1,761226-15-M9,4,1976-10-29 03:10:41.938520,0.726962509079229,1.3350340136054424,3,35,A,AA
21066,761029-03-M2,761226-15-M9,4,1976-10-29 03:23:32.536734,0.7117695070757128,1.4965986394557824,3,35,B,AA
21067,761029-03-M3,761226-15-M9,4,1976-10-29 03:43:52.203741,0.7402526130907822,0.2295918367346939,3,35,B,AA
21068,761029-04-M1,761226-15-M9,4,1976-10-29 04:22:34.752529,0.797021605003547,1.4625850340136055,3,35,A,AA
21069,761029-04-M2,761226-15-M9,4,1976-10-29 04:37:49.667462,0.7936586832536278,0.8843537414965987,3,35,A,AA
21070,761029-04-M3,761226-15-M9,4,1976-10-29 04:43:02.796320,0.808863522362392,0.6802721088435375,3,35,A,AA
21071,761029-04-N1,761226-15-M9,4,1976-10-29 04:39:48.634014,0.602917280838651,-5.034013605442177,3,35,D,AA
21072,761029-05-M1,761226-15-M9,4,1976-10-29 05:37:59.010226,0.8139669293439239,0.8503401360544218,3,35,A,AA
21073,761029-05-M2,761226-15-M9,4,1976-10-29 05:49:15.267666,0.6598642879210073,3.018707482993197,3,35,A,BB
21074,761029-05-M3,761226-15-M9,4,1976-10-29 05:25:21.480952,0.6649519576206477,-4.880952380952381,3,35,C,AA
21075,761029-06-M1,761226-15-M9,4,1976-10-29 06:16:29.615226,0.8074349450922835,0.8928571428571429,3,35,A,AA
21076,761029-07-M1,761226-15-M9,4,1976-10-29 07:06:13.417564,0.8277764730006754,0.2295918367346939,3,35,A,AA
21077,761029-07-M2,761226-15-M9,4,1976-10-29 07:36:54.311577,0.8193267750939776,0.272108843537415,3,35,A,AA
21078,761029-07-M3,761226-15-M9,4,1976-10-29 07:48:45.233315,0.816067449030891,0.4506802721088436,3,35,A,AA
21079,761029-08-M1,761226-15-M9,4,1976-10-29 08:17:29.951351,0.8335478805726668,0.2806122448979592,3,35,A,AA
21080,761029-08-M2,761226-15-M9,4,1976-10-29 08:28:30.949242,0.8153358536115081,0.0680272108843537,3,35,A,AA
21081,761029-08-M3,761226-15-M9,4,1976-10-29 08:50:12.635637,0.833329783780282,0.2891156462585034,3,35,A,AA
21082,761029-09-M1,761226-15-M9,4,1976-10-29 09:06:10.869755,0.8073948513051877,0.6887755102040817,3,35,A,AA
21083,761029-09-M2,761226-15-M9,4,1976-10-29 09:11:15.959874,0.6816356890909803,-0.1700680272108843,3,35,A,AA
21084,761029-09-M3,761226-15-M9,4,1976-10-29 09:30:59.286715,0.81695275787878,0.7908163265306123,3,35,A,AA
21085,761029-09-M4,761226-15-M9,4,1976-10-29 09:55:08.632313,0.6876631829591772,0.467687074829932,3,35,B,AA
21086,761029-10-M1,761226-15-M9,4,1976-10-29 10:21:26.021662,0.8340444236454658,0.1785714285714285,3,35,A,AA
21087,761029-10-M2,761226-15-M9,4,1976-10-29 10:37:18.997619,0.7196654563736146,-4.464285714285714,3,35,B,AA
21088,761029-10-N1,761226-15-M9,4,1976-10-29 10:28:56.911565,0.6337626360175015,1.08843537414966,3,35,D,DD
21089,761029-11-M1,761226-15-M9,4,1976-10-29 11:21:45.280851,0.8124940646400278,0.6462585034013606,3,35,A,AA
21090,761029-11-M2,761226-15-M9,4,1976-10-29 11:35:19.032044,0.7193161200690064,1.8962585034013608,3,35,A,AA
21091,761029-11-N1,761226-15-M9,4,1976-10-29 11:59:12.602721,0.8031992634971112,0.697278911564626,3,35,D,AA
21092,761029-12-M1,761226-15-M9,4,1976-10-29 12:33:10.723127,0.8296629042092531,0.7227891156462586,3,35,A,AA
21093,761029-12-M2,761226-15-M9,4,1976-10-29 12:46:36.853639,0.8063170144701579,0.2380952380952381,3,35,A,AA
21094,761029-13-M1,761226-15-M9,4,1976-10-29 13:02:36.938435,0.7603586796567311,0.9948979591836736,3,35,B,AA
21095,761029-13-M2,761226-15-M9,4,1976-10-29 13:18:26.971113,0.8107031171341439,0.2636054421768707,3,35,A,AA
21096,761029-15-M2,761226-15-M9,4,1976-10-29 15:36:18.602562,0.7906635552587461,0.9268707482993198,3,35,A,AA
21097,761029-15-M3,761226-15-M9,4,1976-10-29 15:42:21.097747,0.7409860117686451,1.1649659863945578,3,35,A,AA
21098,761029-15-M4,761226-15-M9,4,1976-10-29 15:44:52.544898,0.748420311811101,1.08843537414966,3,35,B,AA
21099,761029-15-M5,761226-15-M9,4,1976-10-29 15:51:25.301309,0.7623306605085437,1.1224489795918369,3,35,A,AA
21100,761029-15-M6,761226-15-M9,4,1976-10-29 15:56:55.835027,0.7808062700260936,0.9608843537414968,3,35,A,AA
21101,761029-15-M7,761226-15-M9,4,1976-10-29 15:46:38.441156,0.6260758327552359,-0.8078231292517007,3,35,B,DD
21102,761029-16-M1,761226-15-M9,4,1976-10-29 16:05:11.064285,0.7541400696107117,1.369047619047619,3,35,B,AA
21103,761029-16-M2,761226-15-M9,4,1976-10-29 16:41:14.926871,0.6763768039738076,1.5731292517006803,3,35,C,AA
21104,761029-16-M3,761226-15-M9,4,1976-10-29 16:43:14.706162,0.7078403922889179,2.406462585034014,3,35,A,AA
21105,761029-16-M4,761226-15-M9,4,1976-10-29 16:50:33.322789,0.7795201979010598,0.9438775510204084,3,35,B,AA
21106,761029-16-M5,761226-15-M9,4,1976-10-29 16:56:30.978529,0.8249202178078717,0.3996598639455783,3,35,A,AA
21107,761029-17-M1,761226-15-M9,4,1976-10-29 17:04:49.357538,0.7949822276863924,0.9013605442176872,3,35,A,AA
21108,761029-17-M2,761226-15-M9,4,1976-10-29 17:06:19.390504,0.6527035973014357,1.6326530612244898,3,35,A,AA
