,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,Regolith_Temp_K,Regolith_Temp_K_per_sec,Rock_Temp_K,Rock_Temp_K_per_sec,deltat_AU,deldot_kms,mean_abs_amp_nms
5646,770413-02-M1,770115-04-M2,geo3,1977-04-13T02:23:12.277602,0.8703751215703155,1.6545553096107086,5,35,A,97.55541399697778,-2.962962962962373e-05,236.93082799395555,-5.925925925928958e-05,0.0025683892344817,0.0231837709482512,13.464174782975457
5647,761017-10-M1,770115-04-M2,geo4,1976-10-17T10:12:41.217564,0.8266533576910003,-9.760700815461334,5,35,A,98.18077873884444,-2.962962962962373e-05,236.9115574776889,-5.925925925928958e-05,0.0025588626644161,-0.0086806519889279,15.024495262867866
5648,761216-11-M2,770115-04-M2,geo4,1976-12-16T11:46:14.533593,0.9360201754663502,-0.3793399509584177,5,35,A,95.90445826391112,-2.962962962962373e-05,234.59668739586667,-4.444444444444613e-05,0.0024465140485915,-0.0399624975184212,17.91268511003591
5649,770115-04-M2,770115-04-M2,geo4,1977-01-15T04:20:02.760701,1.0,5.3124400239101145e-18,5,35,B,95.75769597922964,-2.962962962964479e-05,234.62654396884443,-4.444444444444613e-05,0.0024459417603283,-0.0084117159519789,18.46361931506149
5650,770316-05-M1,770115-04-M2,geo4,1977-03-16T05:30:31.197047,0.8514520994415616,4.552693652855052,5,35,A,93.5224089763852,-2.962962962962373e-05,231.29861346457776,-4.444444444444613e-05,0.002548323983539,0.035828577670321,16.45167344067416
5651,770413-02-M1,770115-04-M2,geo4,1977-04-13T02:23:14.304093,0.8674557971517812,0.8367756180773865,5,35,A,97.5553539528,-2.962962962962373e-05,236.9307079056,-5.925925925928958e-05,0.002568389885522,0.0230813075558407,14.43896742756173
5652,760831-11-M1,760831-13-M1,geo1,1976-08-31T11:17:05.057586,0.871265355560632,-3.213102261267657,5,35,A,284.05225549413336,0.0005777777777777,243.04631762444444,0.0003703703703703,0.0024661617624544,0.030185995905635,31.823463558636387
5653,760831-13-M1,760831-13-M1,geo1,1976-08-31T13:02:13.213102,1.0,-0.0,5,35,C,287.5563538485037,0.0005481481481481,245.33267151925924,0.0003703703703703,0.0024676315585998,0.0302202902674764,33.67840498496263
5654,761128-01-M2,760831-13-M1,geo1,1976-11-28T01:44:39.149417,0.8256392732842976,0.3315902745904687,5,35,A,289.5449285606815,0.0005629629629629,249.6256108951852,0.0003703703703703,0.002596046972361,0.0040406989474456,43.79199937077856
5655,761128-02-M4,760831-13-M1,geo1,1976-11-28T02:36:23.137804,0.8453311838441288,2.8365192939387485,5,35,A,291.2633496110815,0.0005481481481481,250.7652362237037,0.0003703703703703,0.0025973896185643,0.0382080898223381,47.626238882341866
5656,761227-18-M3,760831-13-M1,geo1,1976-12-27T18:31:57.175844,0.8147165995002417,-3.4589187491098574,5,35,A,295.2640911783704,0.0005185185185184,253.76006512740744,0.0003703703703703,0.0026455417586514,0.0436658730192716,36.593521938720826
5657,760831-11-M1,760831-13-M1,geo2,1976-08-31T11:17:07.080586,0.862798305635072,-2.23495296902542,5,35,A,284.05342433857777,0.0005777777777777,243.0470668837037,0.0003703703703703,0.0024661622314802,0.0301136332887611,19.13021099558045
5658,760831-13-M1,760831-13-M1,geo2,1976-08-31T13:02:15.234953,0.9999999999999998,-0.0,5,35,C,287.5574621223852,0.0005481481481481,245.3334203529629,0.0003703703703703,0.0024676320325124,0.030147112990296,20.28359824762158
5659,761128-01-M2,760831-13-M1,geo2,1976-11-28T01:44:41.170899,0.8416798033974758,0.5347213010785095,5,35,A,289.5460665801778,0.0005629629629629,249.62635959222223,0.0003703703703703,0.0025960478493851,0.0039006395698525,26.05147731241193
5660,761128-02-M4,760831-13-M1,geo2,1976-11-28T02:36:25.169292,0.8289871351605276,4.358655537338213,5,35,A,291.26446316746666,0.0005481481481481,250.76598862666663,0.0003703703703703,0.0025973904951983,0.038068125519287,27.154624046148744
5661,761227-18-M3,760831-13-M1,geo2,1976-12-27T18:31:59.198762,0.852985118294338,-1.8858515604584647,5,35,A,295.2651400988148,0.0005185185185184,253.7608143562963,0.0003703703703703,0.0026455424312282,0.0435598718958677,21.65289528264483
5662,760831-11-M1,760831-13-M1,geo3,1976-08-31T11:17:06.069086,0.8934762269364802,-2.728481841016799,5,35,A,284.0528399163556,0.0005777777777777,243.0466922540741,0.0003703703703703,0.0024661619969673,0.030149814597198,29.02856496877897
5663,761128-01-M2,760831-13-M1,geo3,1976-11-28T01:44:40.159648,0.8796603917142861,0.3389414119543883,5,35,A,289.5454972833185,0.0005629629629629,249.62598505481483,0.0003703703703703,0.0025960474106518,0.0039707045942507,38.86132353962381
5664,761128-02-M4,760831-13-M1,geo3,1976-11-28T02:36:24.148381,0.9067058258261896,3.3797164618078708,5,35,A,291.2639035569926,0.0005481481481481,250.76561051148147,0.0003703703703703,0.0025973900546516,0.0381384636638353,42.34446701711192
5665,761227-18-M3,760831-13-M1,geo3,1976-12-27T18:31:58.186794,0.8747421904814294,-2.6773487875707334,5,35,A,295.2646153746667,0.0005185185185184,253.76043955333336,0.0003703703703703,0.0026455420947706,0.0436128991292251,33.33491774759867
5666,760831-13-M1,760831-13-M1,geo3,1976-08-31T13:02:14.228482,1.0,-0.0,5,35,C,287.5569104271704,0.0005481481481481,245.33304758592595,0.0003703703703703,0.0024676317966002,0.0301835404062337,30.700777128357323
5667,760831-11-M1,760831-13-M1,geo4,1976-08-31T11:17:05.831086,0.8871307074109824,-2.490313145300388,5,35,A,284.0527024052445,0.0005777777777777,243.04660410592592,0.0003703703703703,0.0024661619417878,0.030158327846242,26.43181278305257
5668,761128-01-M2,760831-13-M1,geo4,1976-11-28T01:44:39.921457,0.8586295412732807,0.2199193584056897,5,35,A,289.5453631906074,0.0005629629629629,249.625896835926,0.0003703703703703,0.0025960473073121,0.0039872077751883,35.129279552994305
